0,0,2,.,.
1,1,2,0.0,0.0444972497249725
2,1,2,0.0444972497249725,0.17701410277192425
2,1,2,.,.
3,1,0,0.0,58.64166666666668
4,1,0,58.64166666666668,287.583333333333
4,1,0,.,.
5,1,2,0.21833161688980432,0.47191830629540193
5,1,2,.,.
6,1,2,0.47191830629540193,0.609714088873579
7,1,0,0.20390182504719895,1.3441812840312033
8,1,0,1.3441812840312033,11.96742349457057
8,1,0,.,.
9,1,2,0.0,0.02249469852824814
10,1,2,0.02249469852824814,0.6836461126005353
10,1,2,.,.
11,1,0,19.0,240.0
11,1,0,.,.
12,1,0,240.0,777.0
13,1,0,0.7385837193911298,4.103026814498487
14,1,0,4.103026814498487,9.176832393644275
14,1,0,.,.
15,1,1,0.0,0.010095390680619846
16,1,1,0.010095390680619846,3.4172304916553906
16,1,1,.,.
17,1,0,0.0,117.0599999999997
17,1,0,.,.
18,1,0,117.0599999999997,287.583333333333
19,1,2,0.21833161688980432,0.41122158880783255
20,1,2,0.41122158880783255,0.609714088873579
20,1,2,.,.
21,1,0,0.0,40.5033333333333
22,1,0,40.5033333333333,287.583333333333
22,1,0,.,.
23,1,0,0.0,47.08499999999997
24,1,0,47.08499999999997,287.583333333333
24,1,0,.,.
25,1,0,0.0,3.0
26,1,0,3.0,50.5
26,1,0,.,.
27,1,2,0.0,0.21702686472094168
27,1,2,.,.
28,1,2,0.21702686472094168,0.7189455465317538
29,1,0,0.0,37.46666666666667
30,1,0,37.46666666666667,287.583333333333
31,1,0,0.0,2.090909090909091
32,1,0,2.090909090909091,50.5
32,1,0,.,.
33,1,2,0.0,0.062083294913170495
33,1,2,.,.
34,1,2,0.062083294913170495,0.4786373720747149
35,1,2,0.0,0.10091670600845679
35,1,2,.,.
36,1,2,0.10091670600845679,0.4786373720747149
37,1,0,19.0,231.0
38,1,0,231.0,777.0
38,1,0,.,.
39,1,2,0.0,0.08653907839096982
40,1,2,0.08653907839096982,0.17701410277192425
40,1,2,.,.
41,1,0,0.0,456.5
41,1,0,.,.
42,1,0,456.5,959.0
43,1,0,0.7385837193911298,3.6790717180477364
44,1,0,3.6790717180477364,9.176832393644275
44,1,0,.,.
45,1,2,0.21833161688980432,0.4133900923768955
45,1,2,.,.
46,1,2,0.4133900923768955,0.609714088873579
47,1,1,0.0,0.04555670313014058
47,1,1,.,.
48,1,1,0.04555670313014058,3.4172304916553906
49,1,0,0.20390182504719895,3.115330174665341
50,1,0,3.115330174665341,11.96742349457057
50,1,0,.,.
51,1,0,0.0,37.46666666666667
52,1,0,37.46666666666667,287.583333333333
52,1,0,.,.
53,1,0,19.0,229.0
53,1,0,.,.
54,1,0,229.0,777.0
